Ningguang: "But the secrets of the mercantile world are of no interest to you, are they, Traveler? You're rather special, really — and I think you're quite aware of that."
Ningguang: "If possible, I'd like to have your trust."
Ningguang: But if you were to choose the more trustworthy person between myself and Keqing:...
Traveller: "Well, between your orthodoxy and her heterodoxy..."
Traveller: I'd go with Keqing: and her skepticism of the divine.
Ningguang: Haha... You'd pick Keqing:? I had a feeling.
Ningguang: "I originally thought her a bit too... hard-headed. With someone of her character on the Qixing, I've had some extra messes to clean up behind the scenes."
Ningguang: "But after she said those words :  ""The time of the adepti has long passed. If even the Liyue Qixing don't want to face that truth, then what future is there for Liyue..."""
Ningguang: "Well, I must say that quite a few of my doubts have been dispelled."
Ningguang: "I won't deny that Rex Lapis' passing seems advantageous to us. But for Liyue's sake, we cannot allow ourselves to be shackled by rumors of our usurpation of power."
Traveller: I surmise that theFatuihas a hand in these rumors?
Ningguang: Indeed... It seems that you understood what I meant to say from the very beginning.
Ningguang: "I called for the gag order and for the Exuvia to be hidden to temporarily stabilize the situation, and also to prevent something similar to the incident in Mondstadt."
Ningguang: "With Rex Lapis' death, the Fatui have busied themselves with many clandestine actions beyond their diplomatic remit. As the Tianquan, one responsible for Liyue, I cannot be too concerned with appearances when opposing them."
Ningguang: Allowing the Rite of Parting to take place was also meant to buy some time for us to take control of Liyue's administration...
Paimon: Ugh... It's exactly as Zhongli: said. The Qixing only provided the venue for the rite so they could use us for their own ends.
Paimon: "Wait, that's right! Speaking of ends... Could Paimon: say one other thing?"
Ningguang: Of course.
Paimon: "Paimon:'s heard that anyone who sends a greeting gift gets a little something in return... So, does that include us?"
Traveller: "Seriously, Paimon:? Seriously?"
Ningguang: "Hmm-hmm, It's quite alright. I like direct people."
Ningguang: "Well, we have made quite a bit of trouble for you recently. How about this? You can pick any one object here as you please, and you may take it with you."
Paimon: "Yay! Paimon: was just waiting for you to say that! Let's see, what should we get..."
Paimon: One of thosesheetson that wall!
Traveller: ???
Paimon: "Don't look at Paimon: like that! One of these sheets of paper will sell for crazy prices, even if it's only as large as Paimon:'s fingernail!"
Paimon: "Just imagine... how much Mora a whole, untorn sheet would sell for!"
Paimon: Let's grab one! The biggest one!
Paimon: Huh? Well that was an easy search. The biggest sheet is right up there in the most obvious spot. Let's go with that one!
Paimon: La la-la la-la... Let's see what's written on it.
Paimon: "Huh? There's a place marked with a circle on here. Ooh, could it be treasure!? Whatever it is, it better make us filthy rich! Let's see what's written over here..."
Paimon: "Sigil"..."of Permission"... Mm-hmm and... "Fatui"... "research"..."copy"... Huh?
Paimon: "Aw, that doesn't sound like treasure at all."
Paimon: This piece of paper shows that a Qixing spy discovered traces of classified Fatui research on theSigil of Permission.
Paimon: "Oh, Ningguang: did say that the Fatui have been up to all kinds of mischief in the shadows of Liyue... Spreading rumors, wanting to get their hands on the archon's body, and what not."
Paimon: But research on the Sigil of Permission? Paimon: wonders what they're up to.
Paimon: "Speaking of which, there's also some connection between you and the Sigil of Permission, (Traveler). Seems there's still more for us to find out."
Traveller: It's all unfolding a little too perfectly.
Traveller: Ningguang: is clearly trying to steer us there.
Paimon: Oh? You really think so?
Paimon: "Well... should we not go, then?"
Traveller: "No, what I mean is..."
Paimon: "Oh, so you're saying that it's precisely because we can't completely trust Ningguang: that we should confirm the truth of what she says for ourselves."
Paimon: Hmm... That's way out of Paimon:'s league. Paimon: thinks she's been nothing but good to us.
Paimon: "Anyway, we'll see if you're on to something."
Paimon: "Um, before we look forZhongli:atDihua Marsh, let's go to the place marked out on these papers and see if the Fatui really are up to no good there."
Ningguang: "So, have you made your choice?"
Ningguang: You don't have to confirm it with me. Just choose one and take it.
Ningguang: "Afterwards, why not sit down for a while in the Jade Chamber, or have a short stroll? Rest is also an integral part of any journey."
Traveller: Thank you for your hospitality.
Ningguang: "Come now, there's no need to stand on ceremony. Loosen up a little."
Traveller: It's time we made a move. See you...
Ningguang: "Alright then, I hope the next time we meet, you will either have already done the right thing... or, will be about to make the right call."
Paimon: There really were Fatui at the location written down on this piece of paper!
Paimon: "And, uh, they look really mad at us, too!"
Paimon: "There are so many talismans here! And some stacks of blank paper, too! Hmm, what are they for?"
Traveller: It looks like they're copying the pattern on the talisman.
Traveller: Maybe they're trying to reproduce a talisman.
Paimon: Paimon:'s seen this pattern before! But where...
Paimon: "Oh, Paimon: knows! It looks just like the Sigil of Permission thatChilde:gave you."
Paimon: "Hmm, but how did a relic of theadeptiend up in the hands of someone like Childe:? Suspicious..."
Traveller: It's not just a relic...
Paimon: "Oh, that's right.Cloud Retainer:said that when theLord of Geocreated the Sigil of Permission, it wasn't to be used as some ol' relic..."
Paimon: Talismans like that were once used in theArchon Warto channel divine powers.
Paimon: Maybe the Fatui are copying the Sigil of Permission in hopes of achieving a similar effect?
Paimon: "Being able to channel divine power in battle... Whew, that sounds pretty dangerous."
Traveller: Seems the Fatui are definitely up to something.
Traveller: Maybe this paper is only a snippet of a much bigger plan.
Paimon: "And the plot thickens... We'll need to keep an eye onChilde:, that's for sure."
Paimon: "Hmm, alright, that's enough sticking around here. We gotta go meet up withZhongli:soon."
Paimon: The last stop on our Rite of Parting preparations tour is...Dihua Marsh!
Paimon: Let's go! Paimon: hates being late!
Zhongli: Right on time. I myself only arrived moments ago.
Zhongli: Did you enjoy your visit to the Jade Chamber?
Paimon: It was so biiig. And preetty. And expensive. Paimon:'s never seen such a fancy-schmancy place before!
Zhongli: Indeed. It's second to none in all of Liyue.
Zhongli: "Then you met with Ningguang:  I trust? What did you talk about with her?"
Paimon: She's super rich and so generous. Paimon: thinks she's very friendly!
Traveller: Business people are always "friendly" when it suits their interests.
Paimon: "Yeah, (his/her) take on Ningguang: is quite different from Paimon:'s. (S/he) thinks that even the tactless Yuheng is more trustworthy than her."
Zhongli: "Oh, so you also met withKeqing:  then? What did she have to say?"
Paimon: "She said, ""The time of the adepti has long passed. If even theLiyue Qixingdon't want to face that truth, then what future is there for Liyue?"""
Zhongli: "Haha, no respect for the divine."
Zhongli: "Indeed, contrary to the ever-bold Keqing:  Ningguang: is more of a businesswoman at heart, though they are both members of the Qixing."
Zhongli: "Although she's friendly, there's no way of clearly discerning her true intentions."
Traveller: Ningguang: is highly intelligent.
Traveller: Ningguang: is highly ambitious.
Zhongli: "Yes, she has only relied on herself to rise to her current position. No ordinary person could ever achieve that."
Zhongli: "It's said that she's the one behind the constant expansion of the Jade Chamber it's the second most important thing to her. Even if she ever gave up the position of the Tianquan, she would never give up the Jade Chamber."
Paimon: The Jade Chamber is only second? What's the most important thing to her then?
Zhongli: "Why, Mora, of course."
Traveller: Makes sense.
Traveller: No surprises there.
Paimon: "All Ningguang: talked about was the Fatui this and the Fatui that... She said that after Rex Lapis was murdered, the Fatui have constantly been trying to sink their fingers into Liyue and that they aren't to be trusted."
Zhongli: That is how the Fatui have always been. It doesn't surprise me in the least.
Traveller: And now they are trying to reproduce the Sigil of Permission.
Zhongli: ...
Zhongli: "No matter what they may be planning, you must be careful when dealing with the Fatui. Always be on your guard."
Paimon: So is there anything we need to get for the Rite of Parting in Dihua Marsh?
Zhongli: "Yes, as a matter of fact, there is. Today we'll be gathering wild Glaze Lilies."
Paimon: Glaze Lilies? But why did we come all the way out here? Doesn't the garden inYujing Terracehave some? EvenQingce Villagehas Glaze Lilies...
Paimon: "Oh right, Paimon: remembers thatMadame Pingis always tending to flowers, maybe we could ask her!"
Zhongli: "No, those lilies have all been gardened by people. They won't do at all."
Zhongli: Dihua Marsh used to be full of Glaze Lilies. It is a sort of joyful flower that listens to human song.
Zhongli: "Before the Archon War, Dihua Marsh was all dry land and fertile soil. But the war caused landslides and the land was flooded, turning it into the marsh you see now. Nearly all the Glaze Lilies were wiped out."
Zhongli: "Of course, there are some kinds of flowers that have been preserved and gardened by people in the city. But very few people know that Glaze Lilies may still be found in the wild."
Zhongli: "Wild Glaze Lilies have the strongest fragrance. If we want to follow the true tradition of the Rite of Parting, we must grind up the wild lilies and place the powder in the censer ofEverlasting Incense."
Zhongli: But I'll need your assistance in gathering these flowers.
Traveller: You mean you need me to pick them?
Zhongli: No. I need you to sing to them. Singing to the flowers will make them more fragrant.
Traveller: So you need me... to sing?
Zhongli: ...That's correct. Your singing will surely bring out the strongest fragrance from the flowers.
Paimon: "Uh... so how good is your singing, (Traveler)?"
Traveller: I can hold a tune.
Paimon: Really? Why doesn't Paimon: believe you...
Zhongli: We'll only know once (he/she) starts singing.
Paimon: It's time to sing! Whenever you're ready!
Traveller: *clears throat*...
Paimon: Wh—What happened...!?
Paimon: These flowers are jumping... They look really angry! Is it... because you sang a song fromMondstadtthat they don't understand here in Liyue?
Paimon: Those weren't Glaze Lilies! Glaze Lilies wouldn't hit people!
Traveller: Those flowers put up quite a fight...
Zhongli: This little monster is known as a "Whopperflower."
Zhongli: Hmm... Strange. These petals look interesting.
Zhongli: The Glaze Lilies used as a disguise were buried with the Whopperflower for too long. The result seems to have surprisingly potent medicinal value. Let's collect what we can of these petals.
Paimon: "Well that's nice and all, but will those petals be useful for the Rite of Parting?"
Zhongli: "Unfortunately, no."
Paimon: "Ugh, that's so lame..."
Ganyu: Excuse me...
Ganyu: Are you searching for Glaze Lilies?
Paimon: "Oh, hey! It's... what's her face... Ah, Paimon: can't remember..."
Traveller: "Greetings,Ganyu:."
Ganyu: "Hello, traveler. I'm surprised you still remember my name."
Traveller: "Greetings, Yangu."
Ganyu: "Yangu"? Wh—Who's that?
Ganyu: "Eh... You've completely forgotten my name, haven't you?"
Ganyu: "Ah! That reminds me, how was your visit to the Jade Chamber?"
Paimon: "Well, it sure would've been better if you'd told us how to get up there!"
Ganyu: Didn't I tell you the way!? Surely I did!
Paimon: "Nope, we found the way on our own!"
Traveller: "It isn't a secret, so perhaps you just assumed we knew?"
Traveller: Guess it was our fault for not asking.
Ganyu: "Oh, I see."
Ganyu: "(Uh-oh, I guess I really did forget to tell them...)"
Paimon: "Huh, something seems a little off about Ganyu:..."
Paimon: She's acting different from the first time we met... Where's her serious attitude now?
Ganyu: "Ah, well, I met you at that time as an emissary of the Tianquan. But now, I am simply out on a stroll to see the flowers."
Paimon: You came all the way out here to see the flowers? Why not just enjoy the gardens of the city?
Ganyu: ...
Ganyu: "Yujing Terrace is where Rex Lapis parted from this world. If I strolled through those lonely gardens now, I wouldn't be able to bear it."
Ganyu: "Whenever my duties take me near Yujing Terrace these days, I draw the windows to block my view of the gardens."
Paimon: "Oh... Sorry, we shouldn't have brought it up."
Ganyu: "No, it's quite alright. I just haven't processed my emotions yet."
Ganyu: "When the Archon War came to its end two thousand years ago, the first iteration of The Seven would gather in Liyue and drink with Rex Lapis. But five of those original seven had already passed before Rex Lapis — it's truly a changing of the guard."
Traveller: So that means...
Ganyu: "Yes. Now that the spirit of Rex Lapis has returned to the heavens, only Barbatos of Mondstadt remains of the first Seven."
Ganyu: "The other five, including Inazuma's Raiden Shogun, are no longer the same friends from two thousands years ago."
Ganyu: "Of the current Seven Archons, the youngest is Sumeru's God of Dendro. He is merely five hundred years old, whereas Rex Lapis was more than six thousand years old at the time of his passing."
Ganyu: "This means that Liyue had been under Rex Lapis' rule from the moment it was first founded 3,700 years ago. The city has never had to bid farewell to its deity..."
Zhongli: "So, what do you think of this ""farewell""?"
Ganyu: "Huh? This... This is a little sudden, I..."
Ganyu: ...
Ganyu: "As a mortal, I've never dared to imagine a Liyue without Rex Lapis."
Ganyu: "But as an adeptus... I think I will eventually come to grips with reality. Since Rex Lapis has passed, the time of Liyue's contract with the gods and adepti has now reached its end."
Paimon: "Huh? Did you just say, ""as an adeptus""?"
Ganyu: "Yes, I... I am a mix of human and Qilin. Adeptus blood flows through my veins. I fought for Rex Lapis and the city of Liyue during the Archon War."
Ganyu: "After the war ended, I signed a contract with Rex Lapis and took the position as secretary for the Qixing. I've continued those duties to this very day."
Traveller: So you're half Qilin? That explains the horns!
Traveller: So you're how old!? That explains the forgetfulness!
Ganyu: "Well... uh, let's save that conversation for another day. You say that you are here looking for Glaze Lilies?"
Ganyu: "I also know where wild Glaze Lilies can be found. See, I've just picked one myself. Here, you may have it if you wish."
Zhongli: We dare not refuse it.
Paimon: "Oh, so did you sing a song before you picked the lily?"
Ganyu: "Indeed, I did. I know this tradition well. In fact, I sang a local Liyue ballad to it."
Paimon: "Wow, so you really know your stuff too! Thanks, Ganyu:!"
Ganyu: "No, it is you who I should be thanking. If not for this chance meeting, I never thought that I would be able to contribute to the upcoming farewell for our ancient lord."
Ganyu: "If you would excuse me, I should return to my work now. Good luck."
Zhongli: And that just about does it. Our preparations for the Rite of Parting are mostly finished.
Zhongli: "Given the ease of picking Glaze Lilies, I think this was a fitting end to our tasks, in more ways than one."
Traveller: "Zhongli:  you seem suited to working in agricultural development."
Paimon: "Yeah, Paimon: can already imagine him starting a business in Liyue."
Zhongli: "Hah, I've had enough ventures in my life already."
Zhongli: "Beginning a new undertaking is always difficult at first and requires no small amount of effort. And once business is at full steam, the stress of it all only wears away at you over time."
Zhongli: "So you must be careful to take the time to step back and reexamine yourself. If left unchecked, the wear and tear on your heart may go well past mending."
Paimon: "Wow! See, Zhongli: sounds like he's already seen it all!"
Paimon: "Alright, I think it's about time we head back to Liyue Harbor now."
Paimon: "Huh, what happened? The city gate is swarming with Millelith and... the Fatui?"
Zhongli: This atmosphere is highly abnormal. It seems as though something big has happened.
Zhongli: "We should ask around a little, just to be safe."
Felix,"Ah, you're the consultant to Wangsheng Funeral Parlor — Mr. Zhongli:  I presume?"
Felix,"The Millelith are watching our every move now. These are desperate times, we mustn't act rashly."
Zhongli: Desperate times?
Felix,The adepti of Jueyun Karst are finally on the move.
Zhongli: Do they intend to exercise force?
Felix,"Most likely. I've heard that some members of the Qixing have already gone to meet them... Well, I say ""meet,"" but it's more like they're attempting to stall the adepti outside the city."
Felix,"However, both sides were quite obsinate, and hit an impasse."
Zhongli: "...It seems inevitable, given the current situation."
Felix,"The adepti do not acknowledge the Qixing, they only acknowledge the contracts of the Geo Archon. If the two sides come to blows, Liyue Harbor will be in no position to stop them."
Zhongli: Surely the Liyue Qixing are not the sort to give in so easily?
Felix,Hmph. Their bone-headedness is known throughout the lands. Yet it's because of that obstinacy that mortals and adepti are now on the verge of conflict.
Zhongli: And what now? How is it that the Fatui have come under fire?
Felix,Ugh... that's all Ningguang:'s doing...
Felix,"She proclaimed that ""in these tumultuous times, the Millelith must rein in the actions of the Fatui."""
Felix,Only now do they want to start keeping tabs on us? Huh! That's the Qixing for you!
Felix,"Anyway, Mr. Zhongli:  you're one of Childe:'s close associates. Please understand that your actions will reflect on us. Don't let anyone catch you off-guard."
Paimon: It looks like things are about to boil over in Liyue Harbor...
Traveller: Is there anything can we do?
Traveller: We can't just stand by and watch.
Zhongli: "Do you intend to use your neutral identity as an intermediary between both sides? Or, will you use your sword to turn the balance?"
Zhongli: Neither path is an easy one...
Felix,"Oh, by the way, Mr. Zhongli:. We've heard that the Wangsheng Funeral Parlor has also been caught up in all this. They're currently squaring off with the authorities at the gates."
Zhongli: Things are taking a turn for the worse...
Zhongli: I'm afraid I must leave now to handle things back at Wangsheng Funeral Parlor. I hope thatDirector Huhas been able to keep things under control for the moment.
Zhongli: "Consider your next course of action carefully, (Traveler). If you're trying to prevent an explosion, it may be wisest to look for the fuse first."
Paimon: Phew... Having connections with the Fatui seems to be quite the double-edged sword.
Paimon: So what did Zhongli: mean by looking for the "fuse"?
Traveller: Childe:.
Traveller: That ginger guy.
Traveller: "You know, Mr. More-Money-Than-Sense."
Paimon: "Ooh, Paimon: gets it! If there's anyone that wants to see the whole city turned upside down, it's definitely him."
Paimon: He must be waiting for the moment when no-one is watching to do something really bad!
Paimon: "But, where could we find him now?"
Paimon: Where would he go at a time like this?
Traveller: Follow me.
Traveller: There's only once place he would go.
Felix,The Liyue Qixing... to think that they'd go for us Fatui the first chance they got...
Felix,"Once the adepti send the Qixing packing, we'll just set up foreign relations with them instead!"
Paimon: Wow... This is theGolden House?
Paimon: It looked impressive enough from the outside... But who would've guessed that it was even fancier on the inside... and so full of Mora!!!
Paimon: "This is where all of Teyvat's Mora is minted, right? In that case, maybe they won't notice if a few Mora go missing..."
Traveller: Touch a single Mora and we're done for!
Traveller: "If it were that easy, this place would have been emptied long ago."
Paimon: "Ooh, so it's a trap. Tricky, tricky... Good thing Paimon:'s got you here!"
Paimon: "But even if we can't take any, we can still have a closer look, right?"
Paimon: "Or better yet, take a nap on top of a mountain of Mora! It's like a dream come true!"
Traveller: We'd better check on the Exuvia first.
Traveller: Something feels amiss here.
Paimon: "Oh, right! Back to business."
Paimon: It's quiet... Too quiet. Surely someone's gotta be guarding something as important as the Exuvia.
Paimon: "Huh!? (Traveler), look! What happened here?"
Traveller: The Millelith...
Traveller: They've been knocked unconscious!
Paimon: "Uh-oh, Paimon: smells trouble!"
Paimon: Quick! We have to go make sure that the Exuvia is alright.
Childe:,"You've already fulfilled your task as guides, so why do you still linger here? Haven't you already seen enough trouble for today?"
Paimon: Huh? Who's there?
Childe:,"If you were Fatui, I imagine that you would be entitled to a generous reward from the Tsaritsa herself."
Childe:,"But now, you're nothing but dross — and you're in my way."
Traveller: How did you find out it was here?
Childe:,"Hmm, where should I start? Well, I've never been one to beat around the bush, you know. But who could have possibly guessed that the God of Geo would mysteriously perish the very moment I arrived in Liyue, and that the Exuvia would subsequently be hidden away?"
Childe:,"If it weren't for that lovely little Rite of Parting ceremony you put together, it would have taken me a whole lot longer to get the information I needed."
Traveller: "Looks like I was just in time, then."
Childe:,Hah! Although I'm deeply grateful to you that I was able to effortlessly find this secret location...
Childe:,Don't you think that trying to stop me now would just be wasted effort?
Childe:,"Stopping the Mora mints, hiding away the Exuvia... Hahaha, the Qixing are really pulling out all the stops this time..."
Paimon: So you've been planning to take the Gnosis from inside the Exuvia all along!?
Childe:,"As one of the Eleven Fatui Harbingers, it's my duty to see the will of the Tsaritsa fulfilled."
Childe:,She will get that which she desires.
Traveller: Not if I have anything to say about it.
Traveller: I won't allow you to get near the Exuvia.
Childe:,"Hah! I'm not asking for your blessing, and there's nothing you can do to stop me anyway."
Childe:,"The time for discussion and diplomacy has already passed. I mean, if it were up to me, I would have skipped that stage to begin with... but I'm willing to do as the Tsaritsa deems fit."
Childe:,"Either way — we now come to my favorite part. A simple pleasure, and one that I am oh-so-delighted to be sharing with you..."
Childe:,The battle.
Paimon: "Battle? So you're the type that goes looking for trouble, huh?"
Childe:,"Haha, you could say that."
Childe:,"When Signora offended the deities outside the Cathedral in Mondstadt, she swiftly left the scene once her mission was accomplished."
Childe:,"Instead of confronting you directly, she chose to rely on the snow and ice to make her escape. She wouldn't want the Knights to come running towards the sound of battle, now, would she?"
Childe:,"When she faces a worthy opponent, she will prioritize her mission, weigh the outcomes, and consider the consequences of her actions..."
Childe:,"But as for me, the greatest pleasure of being a Harbinger lies in crossing blades with strong opponents."
Paimon: We won't let what happened in Mondstadt ever happen again!
Childe:,"Oh? So you intend to fight me? Good. I won't kill you, Traveler. I'll just play along — to feel the thrill of battle![Note 1]"
Childe:,"Besides, you could never defeat me. Not even in your wildest dreams. But hey, try to relish the fight anyway. Because if you ask me... without that, what else is there?"
Traveller: I could never defeat you!? You're completely delusional.
Childe:,Ahahahaha!
Childe:,"Fighting talk, I love it! Now, let's see you live up to it."
Childe:,"This chance is hard to come by, so show me all you've got."
Childe:,So very few ever get the chance to square off with a Fatui Harbinger.
Childe:,"So come now, amuse me... and don't you dare disappoint."
Childe:,Good! No wonder Signora was so wary of you.
Childe:,"Well, that just means I can go all out! Brace yourselves, this is about to get tough..."
Childe:,"Now, show me what you can do against the might of a Harbinger."
Childe:,Not bad. Your swordsmanship is quite impressive.
Childe:,"But, that's about as far as you'll get."
Childe:,Haha...
Childe:,Didn't think you had that card hidden up your sleeve...
Paimon: You were just playing us to get close to the Exuvia!
Childe:,"Oh, quiet down. Stop acting like some wide-eyed recruit."
Childe:,You've seen this world. You of all people should know...
Childe:,This should have been expected.
Childe:,"Well then, I'll be taking Morax's Gnosis now!"
Childe:,...Huh?
Childe:,"Hahaha... I see. Well, this is most unexpected."
Childe:,"You... You beat me to it, didn't you?"
Childe:,Not bad!
Childe:,But this is going to cost you!
Paimon: Aaaah!!!
Childe:,"You got to the Gnosis ahead of me, didn't you!?"
Childe:,Did you simply move faster? Or... did you leak the information regarding the Golden House to me on purpose?
Childe:,No matter. Hand the Gnosis over. Now. Don't make me take it from you.
Paimon: W—We didn't take it!
Childe:,*panting*
Paimon: Look! Childe:'s back to normal again.
Childe:,"Ugh, well then... time to cool off."
Childe:,It seems the burden of the Foul Legacy Transformation was too great for my body. I lacked the opportunity to think this through...
Childe:,"And now that I consider the matter more carefully, you never had any chance of beating me to the Gnosis."
Childe:,"You had no connection to the Gnosis, no matter where it had been taken."
Paimon: That's right! We tried to tell you we didn't take it!
Childe:,"Your show of ability today far surpasses that of Signora's initial assessment of you in Mondstadt. Tell me, how could that be?"
Traveller: (Because I'm collecting the powers of the seven elements...)
Traveller: (Because I'm gradually restoring my former powers...)
Childe:,"You already know the answer, don't you? I can see it in your eyes."
Childe:,"But if that is a secret you wish to keep, I guess I'll just have to curb my curiosity."
Childe:,The battle has already left me satisfied.
Childe:,"Anyone who strives as I do to grow stronger shall be called a friend, even if our friendship can only be shown in battle against one another."
Paimon: Pretty sure that's not the normal way to make friends.
Childe:,"Unfortunately, I must bring this amiable conversation to an end. My quest still beckons."
Childe:,"Given the Gnosis wasn't taken by anyone, then we must look once again to the beginning. Perhaps it was never in the Exuvia to begin with."
Childe:,"In fact, it might be that the Exuvia was just a diversion of sorts."
Paimon: What? So you mean that...
Traveller: Rex Lapis still lives?
Traveller: The corpse was fake?
Childe:,"Yes, it appears so. Interesting to say the least..."
Childe:,It seems that the guardian deity of the capital of commerce is also well-versed in the little maneuvers beyond the boundaries of contracts.
Childe:,"As such, we must now look to our backup plan."
Paimon: Backup plan?
Childe:,"I had hoped it would never come to this, for the weak will be swept away in the process."
Childe:,"The truth is, the world belongs to those who pursue strength. I seldom willingly involve myself with the weak."
Childe:,"Unfortunately, we cannot be picky about our methods as Fatui Harbingers. Children must all learn to eat their vegetables sometime."
Paimon: "So, what are you planning to do?"
Childe:,I will awaken the god that lies dormant beneath Guyun Stone Forest.
Paimon: A god!?
Childe:,"Osial, Overlord of the Vortex, who was defeated by Morax the Geo Archon in the Archon War, and who has remained pinned beneath the waves by the Geo Archon's stone spears ever since."
Childe:,"If such an ancient god were to be unleashed upon Liyue Harbor, defenseless without the protection of its deity..."
Childe:,Do you think the cunning Rex Lapis would just stand aloof and watch the ensuing destruction?
Paimon: But... the Archon War ended two thousand years ago! How could an ancient god appear in a world now overseen by The Seven?
Childe:,Simple! I've already prepared the means to awaken it.
Paimon: Hey! Those are Sigils of Permission!
Paimon: "Oh, Paimon: remembers now! The Fatui have been researching them..."
Traveller: I saw your research with my own eyes.
Traveller: You've been trying to duplicate them.
Childe:,Indeed. The one that was given to you was just a by-product of our research.
Childe:,"With the power of so many Sigils of Permission concentrated in one place, along with that which was bestowed upon me as a Harbinger by our Tsaritsa... Breaking the subduing might of the Geo Archon's spears for a time should be no obstacle."
Childe:,Using the powers of ancient gods in such a situation fails to interest me and is largely against my principles.
Childe:,"But knowing that such an action will not only force the Geo Archon to show its hand, but you as well... That makes matters a little more intriguing."
Childe:,Hahahahaha! Let's see — will the nation that has lost its deity be swallowed up by an ancient malice once more?
Childe:,If you wish to drown together with the people of Liyue
Childe:,You're free to stay and enjoy the show!
Paimon: Huh? He—He's already gone!
Paimon: That guy is fast...
Paimon: Wha—What's going on!?
Paimon: *panting* Paimon:'s exhausted...
Paimon: "If we hadn't happened to see the Jade Chamber flying over just as we came out of the Golden House, we really wouldn't have known which way to go..."
Paimon: "Whew, did we make it in time? Is the Overlord of the Vortex still in the sea? It hasn't destroyed Liyue yet, has it?"
Xiao: What... are you doing here?
Paimon: Huh... Hold on! It's the adepti! What are you doing on the Jade Chamber? Paimon: thought you were arguing with the Qixing... Is the fighting over?
Ningguang: "Faced with such a calamity of such magnitude, we have agreed to put our differences aside for now and unit against this common enemy."
Moon Carver,Hmph!
Paimon: "Oh, Paimon: gets it... So, how do you plan to defend Liyue?"
Paimon: "Uhh... just seeing this Overlord of the Vortex guy puts a pit in Paimon:'s tummy, even from all the way out here."
Keqing: It's not just you. We've got new Millelith recruits who can't even stand at attention without shaking. The force of an ancient god's presence seems to be too much for ordinary people to handle.
Keqing: ...Which is why we must stop that monster before it gets any closer to Liyue Harbor!
Paimon: So the Archon War was fought two thousand years ago against enemies like that thing? Now that's scary...
Xiao: ...
Paimon: "So will the power of the Qixing, Millelith, and Adepti gathered here be enough to stop that god?"
Ningguang: "We've already discussed this together, and our conclusion is... not necessarily."
Paimon: What!? But all of you are supposed to be the guardians of Liyue. Can't you think of something?
Cloud Retainer: One certainly could.
Paimon: Eh?
Cloud Retainer: The Qixing did once research the matter of the Guizhong Ballista when it piqued their fancy.
Cloud Retainer: "And as fate would have it, one, who did craft the Guizhong Ballista with one's own hands, is here..."
Cloud Retainer: For what could you mortals ever learn of adepti mechanisms? Yet it would take one but a little tinkering to turn this ballista into an engine of war beyond your wildest thoughts.
Ningguang: "Heh, I suppose this is one blessing from the adepti that we should be thankful for."
Ningguang: So be it. We shall use the upgraded Guizhong Ballista to fight off that god. All the adepti here can lend their strength to man it.
Ningguang: We haven't a moment to spare. Our battle begins now!
Paimon: The Fatui!
Paimon: They're attacking the Guizhong Ballista!
Millelith Soldier,The three adepti are manning the Guizhong Ballistas. Do not let the Fatui disturb their work!
Keqing: "All able Millelith, with me!"
Paimon: Let's go help too!
Cloud Retainer: We adepti have not faced a god in several millenia.
Cloud Retainer: "Hmph. Let one see what you are made of then. What strength remains within you, one wishes to witness!"
Paimon: What is that!?
Xiao: That is Osial's divine power. I am... very familiar with it.
Xiao: Be careful not to get hit.
Millelith Soldier,The Fatui... their attacks are unrelenting!
Ningguang: Ha. How daring. Snezhnaya's diplomats will answer for this afterward. Every last one.
Paimon: The ancient god's attacking again!
Paimon: "There are so many Fatui, too! We can't hold—"
Madame Ping,"Hahaha, were you about to say, ""we can't hold them,"" children?"
Paimon: Huh?
Madame Ping,"Don't lose heart. Here, take this."
Paimon: This is... adeptal energy!?
Paimon: "(Traveler), that light from your body... It's like that time in Jueyun Karst..."
Paimon: "Wow, it's Madame Ping's Shockwave! This granny's really strong!"
Ganyu: "With the blood of the Qilin, I guard you against evil."
Ganyu: Cast your fear of injury by the wayside and fight with all your might. I too did this during the Archon War.
Paimon: Huh... So this is what Ganyu:'s like in a fight...
Xiao: My name means "swiftness."
Xiao: "Take my power, and run as I do."
Paimon: We're— going— too— faaaaast—!
Madame Ping,"Child, you are strong in body and spirit. Perhaps you can withstand three forms of adeptal energy at once..."
Ganyu: This will hurt a little... Please bear with us!
Xiao: "Once you've adapted, try to use them in battle."
Ganyu: Exercise caution! I fear that the god's power has reached its peak...
Keqing: "In other words, if we hold here, there's nothing worse to come, right?"
Keqing: The Fatui's numbers are thinning!
Millelith Soldier,"Fight on, comrades! Once we've finished this lot off, the adepti will be able to deal with the god in peace!"
Moon Carver,The interlopers are no more
Moon Carver,Now we may commit ourselves fully!
Paimon: Ah! It's working!
Paimon: We just need to keep this up!
Xiao: Be careful now
Cloud Retainer: The Guizhong Ballista is destroyed...
Cloud Retainer: "Without its covering fire, retaliation shall be difficult"
Ganyu: But the Jade Chamber is our last line of defense!
Ganyu: We can't give another inch... no matter what...
Ningguang: I have... another idea
Ganyu: "What do you mean, Lady Ningguang:?"
Ningguang: I'll sacrifice the Jade Chamber
Xiao: What is the meaning of this?
Xiao: ...I understand
Ningguang: "Traveler, lend me a hand"
Ningguang: "Farewell, old friend..."
Ningguang: ...Goodbye for now
Ningguang: Let us meet again in the future
Paimon: Is it... finally over?
